serial,brandname,location,batch group FAMILY,active,stockc,boat name,batch,planned ETA,date type,standard paint,paint,colour descr,paint_type,CoilSeats,MPRouter,cprouterplate,MpKeel,mppresstanks,mppresstransom,mppresspunt,metalprepcoilone,metalprepcoiltwo,rotomolder,metalprepguillopress,metalprepgunnels,metalprepext.misc,metalpreppressone,metalpreppresstwo,metalprepbulkparts,Router1,Router2,metalpreppreweld,metalprepseats,metalprepkeelweld,metalpreptransompart,stretchbottomsides,trimbottomside,stretchtopsides,trimstretchtopsides,weldpartsassembly,WeldPartsD,WeldPartsEHTroof,weldpartsb,weldpartsbowriderplateWPbunks,weldpartsc,weldpartscabin,Weldcabintopfit,weldpartsmiscparts,weldpartstank,transomassembly,hullstack,hullsweld,hullstig,WELD1,WELD1assist,WELD2,WELD3,WELD4,WeldQCsmall,RivetSeats,Linish,prepaintclean,StripeFab,CleanCabin,QC1small=cleanlarge=weld,ReworkfromRack,ReworkMovetoPackage,PrintWrap,carpentermarking,carpenterwood,carpentercarpet,MoveBoat2,PaintWash,paintprep,PaintEtch,paintcoating,PaintTwoTone,PaintRepair,RotoFit,UnwrapPlate,QC2PaintQCrotofit,LaminateWrap,StoreKitDF1F2notfortimes,WindscreensSection1of2,CanopyBendBows,CanopyCutBows,CanopyExtras,CanopySew,ApplyWrap,FitOutdashes,HtopAssbly,FitOut1,FitOut2,StoreKitF3F4notfortimes,FitOut3,FitOut4,FitOut5,stripes,QC3,TrailerFitUnderBoatHoist,CanopyFit,rigoutboard,unboxfitmotor,OutboardPD,OutboardRunforPD,PackagingpreQC4,QC4FinalCheck,transportcheckmoveboat,ShrinkWrap
370707,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,18/07/2023,FCAST,YES,TWHITE,Telwater White,ONETONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
368876,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,7/09/2023,FCAST,YES,PTTG,Trident Grey (not to appear on Gateway),TWOTONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
366214,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,2/10/2023,FCAST,YES,LBLUEFS,Light Blue Two Tone Full Sides,TWOTONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
367259,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,9/10/2023,FCAST,YES,TWHITE,Telwater White,ONETONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
370731,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,29/09/2023,FCAST,YES,TWHITE,Telwater White,ONETONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
367195,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,1/11/2023,FCAST,YES,BLACKFS,Black Two Tone Full Sides,TWOTONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
373172,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,1/11/2023,FCAST,YES,TWHITE,Telwater White,ONETONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
367848,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,1/09/2023,FCAST,YES,TWHITE,Telwater White,ONETONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
365275,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,7/08/2023,FCAST,YES,TWHITE,Telwater White,ONETONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
369137,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,6/09/2023,FCAST,YES,BLACKFS,Black Two Tone Full Sides,TWOTONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
